Angle, TimePerStep, Intensity
10.004177820, 10.160, 63.0
10.012533455, 10.160, 61.0
10.020889089, 10.160, 55.0
10.029244724, 10.160, 56.0
10.037600358, 10.160, 63.0
10.045955993, 10.160, 53.0
10.054311627, 10.160, 50.0
10.062667262, 10.160, 47.0
10.071022896, 10.160, 53.0
10.079378531, 10.160, 65.0
10.087734165, 10.160, 57.0
10.096089800, 10.160, 55.0
10.104445434, 10.160, 66.0
10.112801069, 10.160, 55.0
10.121156703, 10.160, 46.0
10.129512338, 10.160, 58.0
10.137867973, 10.160, 59.0
10.146223607, 10.160, 58.0
10.154579242, 10.160, 47.0
10.162934876, 10.160, 53.0
10.171290511, 10.160, 51.0
10.179646145, 10.160, 70.0
10.188001780, 10.160, 50.0
10.196357414, 10.160, 50.0
10.204713049, 10.160, 68.0
10.213068683, 10.160, 54.0
10.221424318, 10.160, 37.0
10.229779952, 10.160, 64.0
10.238135587, 10.160, 57.0
10.246491221, 10.160, 45.0
10.254846856, 10.160, 58.0
10.263202490, 10.160, 55.0
10.271558125, 10.160, 78.0
10.279913760, 10.160, 64.0
10.288269394, 10.160, 68.0
10.296625029, 10.160, 57.0
10.304980663, 10.160, 60.0
10.313336298, 10.160, 53.0
10.321691932, 10.160, 47.0
10.330047567, 10.160, 65.0
10.338403201, 10.160, 58.0
10.346758836, 10.160, 68.0
10.355114470, 10.160, 55.0
10.363470105, 10.160, 61.0
10.371825739, 10.160, 57.0
10.380181374, 10.160, 47.0
10.388537008, 10.160, 68.0
10.396892643, 10.160, 60.0
10.405248278, 10.160, 76.0
10.413603912, 10.160, 67.0
10.421959547, 10.160, 57.0
10.430315181, 10.160, 58.0
10.438670816, 10.160, 58.0
10.447026450, 10.160, 50.0
10.455382085, 10.160, 65.0
10.463737719, 10.160, 64.0
10.472093354, 10.160, 57.0
10.480448988, 10.160, 67.0
10.488804623, 10.160, 42.0
10.497160257, 10.160, 48.0
10.505515892, 10.160, 58.0
10.513871526, 10.160, 46.0
10.522227161, 10.160, 63.0
10.530582796, 10.160, 63.0
10.538938430, 10.160, 57.0
10.547294065, 10.160, 50.0
10.555649699, 10.160, 51.0
10.564005334, 10.160, 47.0
10.572360968, 10.160, 55.0
10.580716603, 10.160, 38.0
10.589072237, 10.160, 63.0
10.597427872, 10.160, 47.0
10.605783506, 10.160, 71.0
10.614139141, 10.160, 46.0
10.622494775, 10.160, 63.0
10.630850410, 10.160, 66.0
10.639206044, 10.160, 65.0
10.647561679, 10.160, 59.0
10.655917313, 10.160, 64.0
10.664272948, 10.160, 67.0
10.672628583, 10.160, 63.0
10.680984217, 10.160, 61.0
10.689339852, 10.160, 60.0
10.697695486, 10.160, 56.0
10.706051121, 10.160, 61.0
10.714406755, 10.160, 53.0
10.722762390, 10.160, 60.0
10.731118024, 10.160, 51.0
10.739473659, 10.160, 58.0
10.747829293, 10.160, 57.0
10.756184928, 10.160, 50.0
10.764540562, 10.160, 47.0
10.772896197, 10.160, 58.0
10.781251831, 10.160, 48.0
10.789607466, 10.160, 63.0
10.797963101, 10.160, 60.0
10.806318735, 10.160, 64.0
10.814674370, 10.160, 64.0
10.823030004, 10.160, 51.0
10.831385639, 10.160, 57.0
10.839741273, 10.160, 37.0
10.848096908, 10.160, 53.0
10.856452542, 10.160, 56.0
10.864808177, 10.160, 54.0
10.873163811, 10.160, 76.0
10.881519446, 10.160, 47.0
10.889875080, 10.160, 45.0
10.898230715, 10.160, 49.0
10.906586349, 10.160, 53.0
10.914941984, 10.160, 59.0
10.923297619, 10.160, 53.0
10.931653253, 10.160, 53.0
10.940008888, 10.160, 57.0
10.948364522, 10.160, 53.0
10.956720157, 10.160, 59.0
10.965075791, 10.160, 51.0
10.973431426, 10.160, 55.0
10.981787060, 10.160, 59.0
10.990142695, 10.160, 68.0
10.998498329, 10.160, 44.0
11.006853964, 10.160, 50.0
11.015209598, 10.160, 54.0
11.023565233, 10.160, 59.0
11.031920867, 10.160, 66.0
11.040276502, 10.160, 45.0
11.048632137, 10.160, 65.0
11.056987771, 10.160, 53.0
11.065343406, 10.160, 55.0
11.073699040, 10.160, 75.0
11.082054675, 10.160, 54.0
11.090410309, 10.160, 61.0
11.098765944, 10.160, 53.0
11.107121578, 10.160, 71.0
11.115477213, 10.160, 64.0
11.123832847, 10.160, 48.0
11.132188482, 10.160, 61.0
11.140544116, 10.160, 65.0
11.148899751, 10.160, 59.0
11.157255385, 10.160, 57.0
11.165611020, 10.160, 69.0
11.173966654, 10.160, 53.0
11.182322289, 10.160, 54.0
11.190677924, 10.160, 65.0
11.199033558, 10.160, 60.0
11.207389193, 10.160, 51.0
11.215744827, 10.160, 65.0
11.224100462, 10.160, 51.0
11.232456096, 10.160, 67.0
11.240811731, 10.160, 53.0
11.249167365, 10.160, 61.0
11.257523000, 10.160, 56.0
11.265878634, 10.160, 66.0
11.274234269, 10.160, 58.0
11.282589903, 10.160, 38.0
11.290945538, 10.160, 45.0
11.299301172, 10.160, 56.0
11.307656807, 10.160, 47.0
11.316012442, 10.160, 46.0
11.324368076, 10.160, 51.0
11.332723711, 10.160, 58.0
11.341079345, 10.160, 59.0
11.349434980, 10.160, 39.0
11.357790614, 10.160, 48.0
11.366146249, 10.160, 60.0
11.374501883, 10.160, 56.0
11.382857518, 10.160, 58.0
11.391213152, 10.160, 49.0
11.399568787, 10.160, 48.0
11.407924421, 10.160, 56.0
11.416280056, 10.160, 51.0
11.424635690, 10.160, 50.0
11.432991325, 10.160, 60.0
11.441346960, 10.160, 58.0
11.449702594, 10.160, 66.0
11.458058229, 10.160, 64.0
11.466413863, 10.160, 35.0
11.474769498, 10.160, 57.0
11.483125132, 10.160, 39.0
11.491480767, 10.160, 61.0
11.499836401, 10.160, 53.0
11.508192036, 10.160, 51.0
11.516547670, 10.160, 56.0
11.524903305, 10.160, 48.0
11.533258939, 10.160, 46.0
11.541614574, 10.160, 55.0
11.549970208, 10.160, 49.0
11.558325843, 10.160, 59.0
11.566681477, 10.160, 54.0
11.575037112, 10.160, 59.0
11.583392747, 10.160, 57.0
11.591748381, 10.160, 45.0
11.600104016, 10.160, 59.0
11.608459650, 10.160, 48.0
11.616815285, 10.160, 56.0
11.625170919, 10.160, 57.0
11.633526554, 10.160, 66.0
11.641882188, 10.160, 53.0
11.650237823, 10.160, 51.0
11.658593457, 10.160, 50.0
11.666949092, 10.160, 54.0
11.675304726, 10.160, 60.0
11.683660361, 10.160, 51.0
11.692015995, 10.160, 55.0
11.700371630, 10.160, 51.0
11.708727265, 10.160, 49.0
11.717082899, 10.160, 46.0
11.725438534, 10.160, 46.0
11.733794168, 10.160, 54.0
11.742149803, 10.160, 54.0
11.750505437, 10.160, 43.0
11.758861072, 10.160, 60.0
11.767216706, 10.160, 59.0
11.775572341, 10.160, 74.0
11.783927975, 10.160, 55.0
11.792283610, 10.160, 45.0
11.800639244, 10.160, 55.0
11.808994879, 10.160, 50.0
11.817350513, 10.160, 59.0
11.825706148, 10.160, 64.0
11.834061783, 10.160, 48.0
11.842417417, 10.160, 64.0
11.850773052, 10.160, 63.0
11.859128686, 10.160, 53.0
11.867484321, 10.160, 57.0
11.875839955, 10.160, 48.0
11.884195590, 10.160, 50.0
11.892551224, 10.160, 56.0
11.900906859, 10.160, 56.0
11.909262493, 10.160, 38.0
11.917618128, 10.160, 45.0
11.925973762, 10.160, 54.0
11.934329397, 10.160, 50.0
11.942685031, 10.160, 60.0
11.951040666, 10.160, 64.0
11.959396300, 10.160, 39.0
11.967751935, 10.160, 49.0
11.976107570, 10.160, 49.0
11.984463204, 10.160, 67.0
11.992818839, 10.160, 58.0
12.001174473, 10.160, 60.0
12.009530108, 10.160, 61.0
12.017885742, 10.160, 49.0
12.026241377, 10.160, 51.0
12.034597011, 10.160, 54.0
12.042952646, 10.160, 58.0
12.051308280, 10.160, 61.0
12.059663915, 10.160, 48.0
12.068019549, 10.160, 61.0
12.076375184, 10.160, 53.0
12.084730818, 10.160, 38.0
12.093086453, 10.160, 45.0
12.101442088, 10.160, 67.0
12.109797722, 10.160, 48.0
12.118153357, 10.160, 47.0
12.126508991, 10.160, 51.0
12.134864626, 10.160, 44.0
12.143220260, 10.160, 43.0
12.151575895, 10.160, 40.0
12.159931529, 10.160, 71.0
12.168287164, 10.160, 50.0
12.176642798, 10.160, 57.0
12.184998433, 10.160, 54.0
12.193354067, 10.160, 42.0
12.201709702, 10.160, 50.0
12.210065336, 10.160, 47.0
12.218420971, 10.160, 59.0
12.226776606, 10.160, 40.0
12.235132240, 10.160, 65.0
12.243487875, 10.160, 69.0
12.251843509, 10.160, 61.0
12.260199144, 10.160, 54.0
12.268554778, 10.160, 57.0
12.276910413, 10.160, 49.0
12.285266047, 10.160, 49.0
12.293621682, 10.160, 55.0
12.301977316, 10.160, 63.0
12.310332951, 10.160, 39.0
12.318688585, 10.160, 61.0
12.327044220, 10.160, 57.0
12.335399854, 10.160, 49.0
12.343755489, 10.160, 49.0
12.352111124, 10.160, 42.0
12.360466758, 10.160, 57.0
12.368822393, 10.160, 55.0
12.377178027, 10.160, 61.0
12.385533662, 10.160, 60.0
12.393889296, 10.160, 53.0
12.402244931, 10.160, 57.0
12.410600565, 10.160, 60.0
12.418956200, 10.160, 49.0
12.427311834, 10.160, 64.0
12.435667469, 10.160, 56.0
12.444023103, 10.160, 54.0
12.452378738, 10.160, 58.0
12.460734372, 10.160, 73.0
12.469090007, 10.160, 51.0
12.477445641, 10.160, 43.0
12.485801276, 10.160, 51.0
12.494156911, 10.160, 56.0
12.502512545, 10.160, 48.0
12.510868180, 10.160, 69.0
12.519223814, 10.160, 47.0
12.527579449, 10.160, 66.0
12.535935083, 10.160, 56.0
12.544290718, 10.160, 48.0
12.552646352, 10.160, 64.0
12.561001987, 10.160, 56.0
12.569357621, 10.160, 45.0
12.577713256, 10.160, 51.0
12.586068890, 10.160, 61.0
12.594424525, 10.160, 55.0
12.602780159, 10.160, 57.0
12.611135794, 10.160, 51.0
12.619491429, 10.160, 60.0
12.627847063, 10.160, 58.0
12.636202698, 10.160, 58.0
12.644558332, 10.160, 44.0
12.652913967, 10.160, 46.0
12.661269601, 10.160, 44.0
12.669625236, 10.160, 53.0
12.677980870, 10.160, 65.0
12.686336505, 10.160, 71.0
12.694692139, 10.160, 57.0
12.703047774, 10.160, 56.0
12.711403408, 10.160, 36.0
12.719759043, 10.160, 48.0
12.728114677, 10.160, 55.0
12.736470312, 10.160, 45.0
12.744825947, 10.160, 51.0
12.753181581, 10.160, 56.0
12.761537216, 10.160, 66.0
12.769892850, 10.160, 53.0
12.778248485, 10.160, 39.0
12.786604119, 10.160, 53.0
12.794959754, 10.160, 48.0
12.803315388, 10.160, 55.0
12.811671023, 10.160, 48.0
12.820026657, 10.160, 47.0
12.828382292, 10.160, 56.0
12.836737926, 10.160, 55.0
12.845093561, 10.160, 63.0
12.853449195, 10.160, 50.0
12.861804830, 10.160, 69.0
12.870160464, 10.160, 64.0
12.878516099, 10.160, 54.0
12.886871734, 10.160, 71.0
12.895227368, 10.160, 40.0
12.903583003, 10.160, 40.0
12.911938637, 10.160, 63.0
12.920294272, 10.160, 43.0
12.928649906, 10.160, 63.0
12.937005541, 10.160, 56.0
12.945361175, 10.160, 49.0
12.953716810, 10.160, 63.0
12.962072444, 10.160, 53.0
12.970428079, 10.160, 68.0
12.978783713, 10.160, 51.0
12.987139348, 10.160, 58.0
12.995494982, 10.160, 53.0
13.003850617, 10.160, 51.0
13.012206252, 10.160, 40.0
13.020561886, 10.160, 69.0
13.028917521, 10.160, 37.0
13.037273155, 10.160, 57.0
13.045628790, 10.160, 55.0
13.053984424, 10.160, 50.0
13.062340059, 10.160, 48.0
13.070695693, 10.160, 57.0
13.079051328, 10.160, 45.0
13.087406962, 10.160, 49.0
13.095762597, 10.160, 48.0
13.104118231, 10.160, 57.0
13.112473866, 10.160, 50.0
13.120829500, 10.160, 53.0
13.129185135, 10.160, 60.0
13.137540770, 10.160, 50.0
13.145896404, 10.160, 59.0
13.154252039, 10.160, 59.0
13.162607673, 10.160, 56.0
13.170963308, 10.160, 51.0
13.179318942, 10.160, 63.0
13.187674577, 10.160, 64.0
13.196030211, 10.160, 43.0
13.204385846, 10.160, 43.0
13.212741480, 10.160, 49.0
13.221097115, 10.160, 49.0
13.229452749, 10.160, 50.0
13.237808384, 10.160, 57.0
13.246164018, 10.160, 63.0
13.254519653, 10.160, 50.0
13.262875287, 10.160, 63.0
13.271230922, 10.160, 50.0
13.279586557, 10.160, 61.0
13.287942191, 10.160, 44.0
13.296297826, 10.160, 59.0
13.304653460, 10.160, 50.0
13.313009095, 10.160, 47.0
13.321364729, 10.160, 53.0
13.329720364, 10.160, 71.0
13.338075998, 10.160, 45.0
13.346431633, 10.160, 67.0
13.354787267, 10.160, 50.0
13.363142902, 10.160, 57.0
13.371498536, 10.160, 48.0
13.379854171, 10.160, 63.0
13.388209805, 10.160, 58.0
13.396565440, 10.160, 47.0
13.404921075, 10.160, 71.0
13.413276709, 10.160, 60.0
13.421632344, 10.160, 49.0
13.429987978, 10.160, 58.0
13.438343613, 10.160, 49.0
13.446699247, 10.160, 63.0
13.455054882, 10.160, 61.0
13.463410516, 10.160, 66.0
13.471766151, 10.160, 42.0
13.480121785, 10.160, 74.0
13.488477420, 10.160, 58.0
13.496833054, 10.160, 61.0
13.505188689, 10.160, 58.0
13.513544323, 10.160, 60.0
13.521899958, 10.160, 50.0
13.530255593, 10.160, 64.0
13.538611227, 10.160, 54.0
13.546966862, 10.160, 55.0
13.555322496, 10.160, 47.0
13.563678131, 10.160, 51.0
13.572033765, 10.160, 51.0
13.580389400, 10.160, 70.0
13.588745034, 10.160, 48.0
13.597100669, 10.160, 49.0
13.605456303, 10.160, 50.0
